Make_model,version,Power,Range,Fuel,Gears,Doors,Seats,drive,Body,Deposit,MonthlyAmount,AnnualMileage,Duration,Services_included,URL,PICTURE_URL,offre,DateTime
Polestar 2,LRDM,421,,Electric,Automatic,5,5,,Hatchback,100.000 kr,3.299 kr,15 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/204418/polestar-2/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fhtsf15k715h2aj7.png,NAF Lease,09/03/2026 17:22:37
Polestar 2,1,421,,Normal,Automatic,5,5,,Hatchback,100.000 kr,3.570 kr,36 mo,20 000 km,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/204418/polestar-2/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fymvnt1ijiyalwiy.png,NAF Lease,09/03/2026 17:22:37
Polestar 2,LRDM,421,,Electric,Automatic,5,20,,Hatchback,100.000 kr,3.570 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/204418/polestar-2/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fjmkiwxzfhskk20k.png,NAF Lease,09/03/2026 17:22:37
Polestar 2,LRDM,Grand,,Electric,Automatic,5,5,,Hatchback,100.000 kr,4.050 kr,25 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/204418/polestar-2/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fwvpugam5251ykny.png,NAF Lease,09/03/2026 17:22:37
Skoda Elroq,Elroq RS,340,,Electric,Automatic,5,5,,SUV,100.000 kr,6.390 kr,15 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/184912/skoda-elroq/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2F3zi9iuba09flzqd.png,NAF Lease,09/03/2026 17:22:37
Skoda Elroq,Elroq RS,340,,Electric,Automatic,5,5,,SUV,100.000 kr,6.660 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/184912/skoda-elroq/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fj9xh9scmlnndsqy.png,NAF Lease,09/03/2026 17:22:37
Skoda Elroq,Elroq RS,340,,Electric,Automatic,5,5,,SUV,100.000 kr,6.660 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/184912/skoda-elroq/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fr2o9psy1xbqqxit.png,NAF Lease,09/03/2026 17:22:37
Skoda Elroq,Elroq RS,340,,Electric,Automatic,5,5,,SUV,100.000 kr,7.140 kr,25 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/184912/skoda-elroq/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fdff01pppawlks3r.png,NAF Lease,09/03/2026 17:22:37
Nissan Micra,52kWH Evolve,,,Electric,Automatic,5,5,Front,Hatchback,100.000 kr,2.270 kr,15 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/208598/nissan-micra/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2Fpvwbgmjfvkr7dbd.png,NAF Lease,09/03/2026 17:22:37
Nissan Micra,52kWH Evolve,,,Electric,Automatic,5,5,Front,Hatchback,100.000 kr,2.430 kr,20 000 km,36 mo,"What's included in this NAF Lease deal?
Delivery within Oslo
Delivery within Oslo is included in the price, for other areas in Norway a delivery fee may apply.
Service & maintenance
We have a wide range of suppliers all across Norway.
Winter tyres
Winter tyres are included in the price.
Show less",https://www.ayvens.com/en-no/private-lease/offer/208598/nissan-micra/,https://data-norway.s3.eu-west-3.amazonaws.com/AYVENS%2Fscreenshots%2F7ow85rrznjagjbf.png,NAF Lease,09/03/2026 17:22:37
