make_model,trim,customer_type,price_value,vat_info,mileage,duration,fuel,emissions,offer_id,cta_text,current_time,url
FIAT Grande Panda,Elétrico 113cv | Bateria 44 kWh ICON,Empresa e ENI,159,Por mês Sem IVA,30.000 km,36 Meses,Elétrico,0 g/km,457150,PEÇA UMA COTAÇÃO,02/03/2026 12:46:25,
FIAT Grande Panda,Gasolina 1.2 100cv POP,Empresa e ENI,159,,0 km,36 Meses,pas,130 g/km,511020,PEÇA UMA COTAÇÃO,02/03/2026 12:46:26,https://www.leasys.com/pt/portugues/campanhas/fiat-grandepanda-gasolina-renting
Leapmotor T03,BEV 37KWH,Empresa e ENI,149,Por mês Sem IVA,50.000 km,60 Meses,Elétrico,0 g/km,494800,PEÇA UMA COTAÇÃO,02/03/2026 12:46:26,https://www.leasys.com/pt/portugues/campanhas/leapmotor-t03_renting
Huawi,"Elétrico 95cv | Bateria 23,65 kWh POP",dacia,129,Por mês Sem IVA,30.000 km,36 Meses,Elétrico,0 g/km,536582,PEÇA UMA COTAÇÃO,02/03/2026 12:46:26,https://www.leasys.com/pt/portugues/campanhas/fiat-500e_POP_renting
FIAT Panda,1.0 Hybrid 65cv ICON,Empresa e ENI,129,Por mês Com IVA,30.000 km,05 Meses,Mild Hybrid,113 g/km,PEÇA UMA COTAÇÃO,519918,02/03/2026 12:46:26,https://www.leasys.com/pt/portugues/campanhas/fiat-pandina-hybrid-icon
mac,Elétrico 156cv | Bateria 54 kWh POP,Empresa e ENI,189,Por mês Sem IVA,30.000 km,36 Meses,Elétrico,0 g/km,241228,PEÇA UMA COTAÇÃO,02/03/2026 12:46:27,https://www.leasys.com/pt/portugues/campanhas/fiat-600-POP_renting
Jeep Avenger,Altitude  1.2 TG 100cv MT,Empresa e ENI,199,Por mês Com IVA,30.000 km,36 Meses,Gasolina,122 g/km,329218,PEÇA UMA COTAÇÃO,02/03/2026 12:46:27,https://www.leasys.com/pt/portugues/campanhas/jeep-avenger_ice_renting
FIAT Grande Panda,Hybrid 1.2 110cv eDCT ICON,Empresa e ENI,159,Por mês Com IVA,30.000 km,36 Meses,Híbrido,123 g/km,432687,PEÇA UMA COTAÇÃO,02/03/2026 12:46:26,https://www.leasys.com/pt/portugues/campanhas/fiat-grandepanda-Hybrid-Icon-renting
FIAT 600 MHEV,Hybrid 1.2 110cv DCT POP,Empresa e ENI,189,Por mês Com IVA,30.000 km,36 Meses,Híbrido,114 g/km,377329,PEÇA UMA COTAÇÃO,02/03/2026 12:46:27,https://www.leasys.com/pt/portugues/campanhas/fiat-600-hybrid_renting
FIAT 500,Hybrid 1.0 65cv POP,Empresa e ENI,129,Por mês Sem IVA,30.000 km,36 Meses,Híbrido,117 g/km,447213,PEÇA UMA COTAÇÃO,02/03/2026 12:46:30,https://www.leasys.com/pt/portugues/campanhas/fiat-500hybrid_renting
Jeep Avenger,Altitude 1.2 e-Hybrid 110cv 48V 4X2 DCT,Empresa e ENI,199,Por mês Com IVA,30.000 km,36 Meses,Híbrido,111 g/km,344904,PEÇA UMA COTAÇÃO,02/03/2026 12:46:47,https://www.leasys.com/pt/portugues/campanhas/jeep-avenger_mhev_renting
Citroën Ë-C3,113cv Autonomia Conforto YOU,,230,Por mês Sem IVA,50.000 km,60 Meses,Elétrico,0 g/km,241273,PEÇA UMA COTAÇÃO,02/03/2026 12:46:50,https://www.leasys.com/pt/portugues/campanhas/citroen-c3-eletric-business-renting
Opel Corsa,Edition 1.2T 100cv CM6,Empresa e ENI,225,Por mês Com IVA,50.000 km,48 Meses,Gasolina,123 g/km,218478,PEÇA UMA COTAÇÃO,02/03/2026 12:46:50,https://www.leasys.com/pt/portugues/campanhas/opelcorsa-gasolina_renting
Alfa Romeo Junior,Elettrica 156cv 54kWh,Empresa e ENI,250,Por mês Sem IVA,30.000 km,36 Meses,Elétrico,0 g/km,369178,PEÇA UMA COTAÇÃO,02/03/2026 12:46:52,https://www.leasys.com/pt/portugues/campanhas/alfa-romeo-junior-elettrica_renting
FIAT Professional Doblò,1.5 BlueHDi 100cv Curta - Série 3,Empresa e ENI,199,Por mês Sem IVA,50.000 km,60 Meses,Gasóleo,140 g/km,218503,PEÇA UMA COTAÇÃO,02/03/2026 12:46:50,https://www.leasys.com/pt/portugues/campanhas/fiat-doblo-cargo_renting
Leapmotor B10,Life MY25,Empresa e ENI,249,Por mês Sem IVA,50.000 km,60 Meses,Elétrico,0 g/km,519926,PEÇA UMA COTAÇÃO,02/03/2026 12:46:51,https://www.leasys.com/pt/portugues/campanhas/leapmotor-b10-life-my25
Jeep Avenger,The North Face 1.2 Turbo 4xe 145Cv AT,Empresa e ENI,199,Por mês Com IVA,30.000 km,36 Meses,Mild Hybrid,124 g/km,493910,PEÇA UMA COTAÇÃO,02/03/2026 12:46:51,https://www.leasys.com/pt/portugues/campanhas/jeep-avenger-1.2-turbo-4xe_renting
